Bank Name,Country,Contact Person,Email Address,Potential Deal Size (USD),Security Door Type,Sales Stage,Last Contact Date,Notes,Branch Location,Number of Branches,Security Budget (USD),Decision Maker Title,Decision Maker Contact,Lead Source,Initial Inquiry Date,Urgency Level,Product Features of Interest,Competition Present,Internal Sales Rep
Co-operative Bank of Kenya,Kenya,John Kamau,j.kamau @co-opbank.co.ke,105000,Safe Deposit Boxes,Negotiation,29/04/2025,Discussing payment terms,Nakuru,90,"320,000",Finance Manager,+254 72 XXX XXXX,Trade Show,"April 14, 2025",Medium,"Customizable compartments, audit log",YES,Mercy Adhiambo
ABSA,Botswana,Tshepo Nkosi,t.nkosi@absa.co.bw,"140,000.00",Vault Door,Closed Won,20-Apr-25,Installation scheduled,Gaborone,80,480000,Project Manager,+267 7 XXX-XXXX,Existing Client,30/03/2025,N/A,"Modular design, relocking system",No,Thabo Molefe
Zenith Bank,Ghana,yaa asantewaa,y.asantewaa @zenithbank.gh,,Access Control,Prospect,26/04/2025,Needs more information,Kumasi,120,"580,000.00",,+233 50 XXX-XXXX,Cold Call,08-Apr-25,Low,"Keypad entry, remote monitoring",YES,Kwabena Yeboah
Commercial Bank of Cameroon,Cameroon,Samuel Eto'o,s.etoo@cbc.cm,120000,Safe Deposit Boxes,Qualified,04/05/2025,Requesting a detailed proposal,Douala,160,420000,Procurement Officer,+237 6 XXX-XXXX,Website Inquiry,20/04/2025,Medium,"Tamper proof hinges, silent alarm",NO,Marie Nsangou
Attijariwafa Bank,Tunisia,Leila Ben Ali,l.benali @ attijari.tn,"195,000.00",Vault Door,Proposal,01-May-25,Seeking clarification on features,Tunis,250,"630,000",Chief Technology Officer,+216 71 XXX-XX-XX,Referral,15-Apr-25,High,"Seismic sensors, concrete filling",Yes,Sofiane Khelifi
KCB,Uganda,James Okello,j.okello@kcb.ug,135000,Access Control System,Negotiation,23/04/2025,Negotiating pricing,Kampala,100,"460,000.00",Head of Security,+256 77 XXX-XXXX,Trade Show,11-Apr-25,Medium,"Card and PIN access, time zones",NO,Aisha Nakato
Nedbank,Zimbabwe,Tendai Mugabe,t.mugabe @ nedbank.co.zw,"160,000",Safe Deposit Boxes,Closed Lost,27-Apr-25,Budget constraints were an issue,Harare,140,380000,Finance Director,+263 4 XXX-XXXX,Existing Client,28/03/2025,N/A,"Basic models, limited features",YES,Farai Mutare
First National Bank Limited,Angola,Paulo Silva,p.silva@fnbangola.ao,"90,000.00",Vault Door,Prospect,06/05/2025,Showing initial interest,Luanda,90,"280,000",Branch Manager,+244 92 XXX-XXXX,Direct Mail,25/04/2025,Low,Standard vault door,No,Isabela Fonseca
Standard Bank Group,Tanzania,Aisha Juma,a.juma @standardbank.tz,210000,Access Control System,Qualified,01/05/2025,Ready for a product demonstration,Dar es Salaam,220,"700,000.00",Chief Operations Officer,+255 75 XXX-XXXX,Website Inquiry,"April 19, 2025",High,Biometric and facial recogniti,YES,Juma Said
Banque Centrale Populaire,Senegal,Aminata Diop,a.diop@bcp.sn,"170,000",Safe Deposit Boxes,Proposal,08-May-25,Requesting references,Dakar,110,350000,Security Director,+221 77 XXX-XX-XX,Referral,22/04/2025,Medium,"Rental options, insurance included",NO,Ousmane Diallo
Equity Bank,Rwanda,Jean-Paul Niyonteze,jp.niyonteze @ equitybank.rw,100000,Vault Door,Negotiation,30/04/2025,Finalizing the service level agreement,Kigali,70,"310,000",Head of Procurement,+250 78 XXX-XXXX,Trade Show,13-Apr-25,Medium,"Custom sizing, installation sup",YES,Marie Umutoni
ABSA Group,Mozambique,Sofia Mendes,s.mendes@absa.co.mz,"155,000",Access Control System,Closed Won,18-Apr-25,Payment received,Maputo,95,"680,000.00",Project Manager,+258 84 XXX-XXXX,Existing Client,22/03/2025,N/A,Integration w existing systems,No,Carlos Alberto
Zenith Bank Plc,Sierra Leone,Fatu Koroma,f.koroma @zenithbank.sl,,Safe Deposit Box,Prospect,24/04/2025,Needs a product brochure,Freetown,60,200000,,+232 76 XXX-XXXX,Cold Call,06/04/2025,Low,Small and medium sizes,YES,Ibrahim Kamara
Commercial Bank of Ethiopia,Djibouti,Omar Ali,o.ali@cbe.dj,"115,000",Vault Door,Qualified,02/05/2025,Interested in customization options,Djibouti City,40,"360,000.00",Security Officer,+253 77 XX-XX-XX,Website Inquiry,21-Apr-25,Medium,Custom locking mechanisms,NO,Amina Farah
Attijariwafa Bank,Mali,Mariam Traore,m.traore @ attijari.ml,185000,Access Control System,Proposal,05-May-25,Seeking legal review,Bamako,130,"610,000",Legal Counsel,+223 76 XX-XX-XX,Referral,16/04/2025,High,"Compliance features, reporting",Yes,Fatoumata Diallo
KCB Group,South Sudan,John Deng,j.deng@kcb.ss,"125,000",Safe Deposit Boxes,Negotiation,27/04/2025,Discussing installation timeline,Juba,30,410000,Technical Director,+211 91 XXX-XXXX,Trade Show,10-Apr-25,Medium,Anch,,
